Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Mean Sea Level Pressure  [MSL];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd]
2019;07;15;00;00;24.58;1007.90;12.59;239.04
2019;07;15;01;00;24.27;1007.50;12.41;240.46
2019;07;15;02;00;23.87;1006.10;11.92;244.98
2019;07;15;03;00;23.69;1005.90;11.92;244.98
2019;07;15;04;00;23.37;1006.00;10.83;248.55
2019;07;15;05;00;23.22;1006.30;9.45;252.26
2019;07;15;06;00;23.80;1007.10;9.11;251.57
2019;07;15;07;00;26.50;1007.10;11.97;254.29
2019;07;15;08;00;28.16;1007.30;16.33;255.96
2019;07;15;09;00;30.11;1007.20;22.35;255.07
2019;07;15;10;00;31.14;1006.90;22.61;256.18
2019;07;15;11;00;31.48;1006.60;22.53;257.07
2019;07;15;12;00;30.94;1005.90;22.18;256.87
2019;07;15;13;00;30.86;1005.40;21.92;255.74
2019;07;15;14;00;30.27;1004.80;21.41;253.39
2019;07;15;15;00;29.85;1004.50;20.61;250.62
2019;07;15;16;00;29.29;1004.60;19.13;250.20
2019;07;15;17;00;29.06;1004.90;18.79;249.83
2019;07;15;18;00;28.27;1006.10;16.28;251.97
2019;07;15;19;00;26.74;1006.70;11.04;250.97
2019;07;15;20;00;26.47;1007.60;9.69;248.20
2019;07;15;21;00;26.32;1007.40;9.66;243.43
2019;07;15;22;00;26.16;1007.60;9.83;241.56
2019;07;15;23;00;25.80;1007.40;10.14;242.53
2019;07;16;00;00;25.59;1006.70;9.98;244.36
2019;07;16;01;00;25.45;1006.20;10.46;243.43
2019;07;16;02;00;25.26;1005.30;10.14;242.53
2019;07;16;03;00;25.12;1004.90;10.46;243.43
2019;07;16;04;00;24.93;1005.60;9.83;246.25
2019;07;16;05;00;24.74;1006.10;9.11;251.57
2019;07;16;06;00;25.08;1006.70;8.65;253.07
2019;07;16;07;00;27.38;1006.60;11.87;255.96
2019;07;16;08;00;28.02;1006.90;14.76;257.32
2019;07;16;09;00;28.73;1007.00;18.43;257.59
2019;07;16;10;00;28.46;1006.90;18.51;256.50
2019;07;16;11;00;28.49;1006.40;17.56;254.54
2019;07;16;12;00;28.54;1006.00;17.42;251.94
2019;07;16;13;00;28.55;1005.60;17.78;248.63
2019;07;16;14;00;28.47;1005.20;16.78;247.29
2019;07;16;15;00;28.34;1005.00;15.79;245.77
2019;07;16;16;00;28.08;1004.90;14.81;244.06
2019;07;16;17;00;28.57;1004.70;14.49;243.43
2019;07;16;18;00;27.24;1005.40;11.75;242.65
2019;07;16;19;00;26.13;1006.70;10.19;237.99
2019;07;16;20;00;25.83;1006.90;10.09;235.18
2019;07;16;21;00;25.60;1006.80;10.23;230.71
2019;07;16;22;00;25.37;1006.90;10.44;226.40
2019;07;16;23;00;25.22;1006.70;10.46;229.18
2019;07;17;00;00;25.05;1006.60;10.23;230.71
2019;07;17;01;00;24.89;1006.30;9.69;228.01
2019;07;17;02;00;24.69;1005.00;9.69;228.01
2019;07;17;03;00;24.59;1004.80;9.73;231.01
2019;07;17;04;00;24.48;1004.60;9.22;231.34
