Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Mean Sea Level Pressure  [MSL];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd]
2019;07;15;00;00;27.94;1001.40;6.73;105.52
2019;07;15;01;00;28.34;1001.50;7.75;111.80
2019;07;15;02;00;28.17;1001.40;7.99;144.16
2019;07;15;03;00;27.88;1001.20;6.64;130.60
2019;07;15;04;00;27.49;1000.70;6.03;107.35
2019;07;15;05;00;27.05;1000.60;7.77;103.39
2019;07;15;06;00;27.90;1000.90;10.16;112.93
2019;07;15;07;00;28.61;1001.00;7.99;125.84
2019;07;15;08;00;30.40;1001.50;9.22;128.66
2019;07;15;09;00;31.39;1001.70;9.69;131.99
2019;07;15;10;00;32.44;1001.90;9.22;141.34
2019;07;15;11;00;33.16;1001.50;9.09;146.31
2019;07;15;12;00;33.62;1000.90;9.59;145.71
2019;07;15;13;00;31.90;1000.60;10.38;146.31
2019;07;15;14;00;33.23;999.90;11.92;151.11
2019;07;15;15;00;32.89;999.40;12.18;145.84
2019;07;15;16;00;32.40;999.20;14.53;138.01
2019;07;15;17;00;31.33;999.30;16.55;135.88
2019;07;15;18;00;30.09;1000.00;15.82;138.69
2019;07;15;19;00;29.40;1000.80;13.78;139.24
2019;07;15;20;00;29.17;1001.60;12.74;132.71
2019;07;15;21;00;28.95;1002.30;11.72;132.51
2019;07;15;22;00;28.74;1003.10;11.97;136.22
2019;07;15;23;00;29.13;1003.10;12.60;143.13
2019;07;16;00;00;28.43;1002.50;11.09;144.25
2019;07;16;01;00;28.17;1002.10;10.70;137.73
2019;07;16;02;00;28.15;1001.90;11.71;135.00
2019;07;16;03;00;28.29;1001.90;13.55;140.39
2019;07;16;04;00;29.01;1002.10;15.00;149.74
2019;07;16;05;00;28.89;1001.90;15.81;149.93
2019;07;16;06;00;29.01;1002.00;16.18;147.72
2019;07;16;07;00;29.43;1002.00;17.10;149.66
2019;07;16;08;00;30.51;1002.50;17.39;152.90
2019;07;16;09;00;31.80;1002.90;18.68;152.45
2019;07;16;10;00;31.66;1003.00;19.16;151.99
2019;07;16;11;00;33.22;1002.50;19.51;150.12
2019;07;16;12;00;33.46;1001.70;20.38;147.99
2019;07;16;13;00;33.38;1001.20;20.77;146.31
2019;07;16;14;00;33.07;1000.60;21.10;143.33
2019;07;16;15;00;32.68;1000.20;21.17;138.45
2019;07;16;16;00;32.00;999.80;21.38;135.00
2019;07;16;17;00;31.12;1000.10;21.17;131.55
2019;07;16;18;00;30.11;1000.70;19.91;130.60
2019;07;16;19;00;29.17;1001.00;15.48;125.54
2019;07;16;20;00;28.98;1002.00;14.20;120.47
2019;07;16;21;00;28.78;1002.80;13.09;121.50
2019;07;16;22;00;28.66;1003.80;13.90;126.57
2019;07;16;23;00;28.68;1003.90;13.51;131.76
2019;07;17;00;00;29.26;1003.50;13.32;141.58
2019;07;17;01;00;28.27;1003.20;11.98;147.26
2019;07;17;02;00;27.99;1002.70;11.75;152.65
2019;07;17;03;00;27.89;1002.40;11.75;152.65
2019;07;17;04;00;27.54;1002.10;10.69;147.38
2019;07;17;05;00;27.38;1002.20;10.46;139.18
2019;07;17;06;00;28.39;1002.60;11.97;136.22
2019;07;17;07;00;29.99;1002.80;16.20;143.13
2019;07;17;08;00;30.41;1003.00;16.70;142.88
2019;07;17;09;00;30.70;1002.90;17.15;140.96
2019;07;17;10;00;31.09;1002.80;18.39;139.76
2019;07;17;11;00;32.71;1002.40;19.80;143.13
2019;07;17;12;00;32.91;1001.90;20.88;144.12
2019;07;17;13;00;32.93;1001.40;21.31;142.55
2019;07;17;14;00;32.75;1000.60;21.76;141.04
2019;07;17;15;00;32.30;999.70;22.26;140.91
2019;07;17;16;00;31.67;999.00;21.67;138.37
2019;07;17;17;00;30.86;999.00;20.87;135.00
2019;07;17;18;00;29.91;999.80;18.63;131.08
2019;07;17;19;00;29.09;1000.40;15.82;138.69
2019;07;17;20;00;28.84;1001.20;14.00;133.96
2019;07;17;21;00;29.30;1001.90;13.25;132.80
2019;07;17;22;00;29.16;1002.50;12.73;135.00
2019;07;17;23;00;29.07;1002.60;11.25;140.19
2019;07;18;00;00;29.01;1002.20;9.51;150.52
2019;07;18;01;00;28.52;1002.10;8.09;159.15
2019;07;18;02;00;27.55;1001.70;8.05;169.70
2019;07;18;03;00;27.18;1001.20;7.42;165.96
2019;07;18;04;00;27.83;1000.70;7.90;155.77
2019;07;18;05;00;28.07;1000.70;8.21;142.13
2019;07;18;06;00;28.51;1000.90;9.16;135.00
2019;07;18;07;00;29.62;1001.10;11.21;137.60
2019;07;18;08;00;30.63;1001.60;12.50;138.50
2019;07;18;09;00;31.31;1001.80;13.55;140.39
2019;07;18;10;00;31.91;1001.60;14.84;140.91
2019;07;18;11;00;32.35;1000.90;14.90;142.85
2019;07;18;12;00;33.34;1000.00;16.28;144.90
2019;07;18;13;00;33.76;999.40;16.68;147.34
2019;07;18;14;00;33.75;998.80;15.99;144.16
2019;07;18;15;00;33.58;998.30;15.63;141.55
2019;07;18;16;00;32.95;998.00;16.06;137.73
2019;07;18;17;00;32.00;998.20;16.04;135.91
2019;07;18;18;00;30.60;998.90;15.53;135.94
2019;07;18;19;00;29.76;999.20;12.31;142.13
2019;07;18;20;00;29.43;999.90;11.48;138.81
2019;07;18;21;00;29.36;1000.90;10.20;132.14
2019;07;18;22;00;29.25;1001.80;8.91;133.36
2019;07;18;23;00;29.07;1002.10;7.90;136.85
2019;07;19;00;00;28.86;1001.50;7.65;131.19
