,Ha Noi,Ha Noi,Ha Noi,Ha Noi
,Temp,Pressure,WindSpeed,WindDir
DateTime,,,,
2019-07-15 00:00:00,27.9,1001.7,3.24,90.0
2019-07-15 01:00:00,27.62,1000.8,2.9,82.87
2019-07-15 02:00:00,27.17,999.7,2.62,74.05
2019-07-15 03:00:00,27.22,999.5,3.26,83.66
2019-07-15 04:00:00,26.84,999.9,2.9,82.87
2019-07-15 05:00:00,26.82,1000.8,3.24,90.0
2019-07-15 06:00:00,27.33,1001.2,3.26,96.34
2019-07-15 07:00:00,27.86,1001.1,4.35,114.44
2019-07-15 08:00:00,28.3,1000.7,5.9,127.57
2019-07-15 09:00:00,28.27,1000.8,7.7,142.59
2019-07-15 10:00:00,28.29,1001.5,7.79,146.31
2019-07-15 11:00:00,28.96,1001.4,7.15,139.09
2019-07-15 12:00:00,30.8,1000.8,7.7,127.41
2019-07-15 13:00:00,31.75,999.8,8.65,135.0
2019-07-15 14:00:00,31.35,999.2,8.94,139.9
2019-07-15 15:00:00,31.3,998.8,9.0,143.13
2019-07-15 16:00:00,31.3,998.9,9.79,143.97
2019-07-15 17:00:00,31.34,999.5,10.23,140.71
2019-07-15 18:00:00,30.85,1000.2,8.94,139.9
2019-07-15 19:00:00,29.65,1001.9,3.56,135.0
2019-07-15 20:00:00,29.31,1002.5,3.32,130.6
2019-07-15 21:00:00,28.94,1003.5,4.84,138.01
2019-07-15 22:00:00,28.55,1003.7,4.1,142.13
2019-07-15 23:00:00,28.11,1003.8,4.61,128.66
2019-07-16 00:00:00,27.6,1003.3,4.68,112.62
2019-07-16 01:00:00,26.97,1002.1,5.24,105.95
2019-07-16 02:00:00,26.5,1001.4,4.74,98.75
2019-07-16 03:00:00,26.2,1001.5,4.69,94.4
2019-07-16 04:00:00,25.94,1002.1,4.68,90.0
2019-07-16 05:00:00,25.82,1002.9,5.05,85.91
2019-07-16 06:00:00,26.19,1003.1,5.04,90.0
2019-07-16 07:00:00,27.01,1003.5,6.29,113.63
2019-07-16 08:00:00,27.84,1003.3,8.5,126.38
2019-07-16 09:00:00,29.23,1003.6,9.69,131.99
2019-07-16 10:00:00,30.52,1003.5,10.7,137.73
2019-07-16 11:00:00,31.88,1002.9,10.44,136.4
2019-07-16 12:00:00,32.84,1002.7,10.2,137.86
2019-07-16 13:00:00,33.56,1002.1,9.73,141.01
2019-07-16 14:00:00,34.05,1001.3,9.96,139.4
2019-07-16 15:00:00,34.16,1000.8,10.2,137.86
2019-07-16 16:00:00,33.64,1000.8,10.2,137.86
2019-07-16 17:00:00,33.5,1000.8,10.95,136.33
2019-07-16 18:00:00,32.64,1001.5,10.95,136.33
2019-07-16 19:00:00,31.77,1001.9,9.16,135.0
2019-07-16 20:00:00,30.44,1002.3,8.65,135.0
2019-07-16 21:00:00,29.64,1003.2,7.9,133.15
2019-07-16 22:00:00,28.94,1003.8,7.2,126.87
2019-07-16 23:00:00,28.38,1004.1,6.19,125.54
2019-07-17 00:00:00,27.86,1004.0,5.32,118.3
2019-07-17 01:00:00,27.41,1002.8,5.8,119.74
2019-07-17 02:00:00,27.03,1002.3,6.3,120.96
2019-07-17 03:00:00,27.38,1002.5,6.29,113.63
2019-07-17 04:00:00,27.51,1002.8,6.12,118.07
2019-07-17 05:00:00,27.16,1003.3,5.15,114.78
2019-07-17 06:00:00,27.22,1003.5,4.21,109.98
2019-07-17 07:00:00,27.71,1003.8,4.35,114.44
2019-07-17 08:00:00,29.55,1003.9,3.89,123.69
2019-07-17 09:00:00,29.31,1003.7,4.1,142.13
2019-07-17 10:00:00,29.88,1003.3,4.55,161.57
2019-07-17 11:00:00,30.36,1002.9,5.09,171.87
2019-07-17 12:00:00,30.92,1002.6,5.76,180.0
2019-07-17 13:00:00,32.43,1002.0,6.57,189.46
2019-07-17 14:00:00,33.29,1001.3,6.73,195.52
2019-07-17 15:00:00,33.7,1000.7,7.34,191.31
2019-07-17 16:00:00,33.74,999.6,7.95,185.19
2019-07-17 17:00:00,33.5,999.7,7.92,180.0
2019-07-17 18:00:00,32.89,1000.6,8.31,175.03
2019-07-17 19:00:00,33.16,1000.1,8.71,150.26
2019-07-17 20:00:00,32.07,1001.0,9.51,150.52
2019-07-17 21:00:00,31.07,1001.7,9.83,151.56
2019-07-17 22:00:00,30.22,1002.6,9.18,154.44
2019-07-17 23:00:00,29.53,1002.6,8.37,154.54
2019-07-18 00:00:00,28.91,1002.3,7.09,156.04
2019-07-18 01:00:00,28.41,1001.7,6.44,153.43
2019-07-18 02:00:00,28.53,1001.0,5.63,153.43
2019-07-18 03:00:00,28.27,1000.5,4.9,143.97
2019-07-18 04:00:00,28.08,1000.6,4.58,135.0
2019-07-18 05:00:00,27.81,1001.0,4.33,131.63
2019-07-18 06:00:00,27.91,1001.5,3.56,135.0
2019-07-18 07:00:00,28.41,1001.4,3.1,144.46
