Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Mean Sea Level Pressure  [MSL];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd]
2019;07;15;00;00;27.90;1001.70;3.24;90.00
2019;07;15;01;00;27.62;1000.80;2.90;82.87
2019;07;15;02;00;27.17;999.70;2.62;74.05
2019;07;15;03;00;27.22;999.50;3.26;83.66
2019;07;15;04;00;26.84;999.90;2.90;82.87
2019;07;15;05;00;26.82;1000.80;3.24;90.00
2019;07;15;06;00;27.33;1001.20;3.26;96.34
2019;07;15;07;00;27.86;1001.10;4.35;114.44
2019;07;15;08;00;28.30;1000.70;5.90;127.57
2019;07;15;09;00;28.27;1000.80;7.70;142.59
2019;07;15;10;00;28.29;1001.50;7.79;146.31
2019;07;15;11;00;28.96;1001.40;7.15;139.09
2019;07;15;12;00;30.80;1000.80;7.70;127.41
2019;07;15;13;00;31.75;999.80;8.65;135.00
2019;07;15;14;00;31.35;999.20;8.94;139.90
2019;07;15;15;00;31.30;998.80;9.00;143.13
2019;07;15;16;00;31.30;998.90;9.79;143.97
2019;07;15;17;00;31.34;999.50;10.23;140.71
2019;07;15;18;00;30.85;1000.20;8.94;139.90
2019;07;15;19;00;29.65;1001.90;3.56;135.00
2019;07;15;20;00;29.31;1002.50;3.32;130.60
2019;07;15;21;00;28.94;1003.50;4.84;138.01
2019;07;15;22;00;28.55;1003.70;4.10;142.13
2019;07;15;23;00;28.11;1003.80;4.61;128.66
2019;07;16;00;00;27.60;1003.30;4.68;112.62
2019;07;16;01;00;26.97;1002.10;5.24;105.95
2019;07;16;02;00;26.50;1001.40;4.74;98.75
2019;07;16;03;00;26.20;1001.50;4.69;94.40
2019;07;16;04;00;25.94;1002.10;4.68;90.00
2019;07;16;05;00;25.82;1002.90;5.05;85.91
2019;07;16;06;00;26.19;1003.10;5.04;90.00
2019;07;16;07;00;27.01;1003.50;6.29;113.63
2019;07;16;08;00;27.84;1003.30;8.50;126.38
2019;07;16;09;00;29.23;1003.60;9.69;131.99
2019;07;16;10;00;30.52;1003.50;10.70;137.73
2019;07;16;11;00;31.88;1002.90;10.44;136.40
2019;07;16;12;00;32.84;1002.70;10.20;137.86
2019;07;16;13;00;33.56;1002.10;9.73;141.01
2019;07;16;14;00;34.05;1001.30;9.96;139.40
2019;07;16;15;00;34.16;1000.80;10.20;137.86
2019;07;16;16;00;33.64;1000.80;10.20;137.86
2019;07;16;17;00;33.50;1000.80;10.95;136.33
2019;07;16;18;00;32.64;1001.50;10.95;136.33
2019;07;16;19;00;31.77;1001.90;9.16;135.00
2019;07;16;20;00;30.44;1002.30;8.65;135.00
2019;07;16;21;00;29.64;1003.20;7.90;133.15
2019;07;16;22;00;28.94;1003.80;7.20;126.87
2019;07;16;23;00;28.38;1004.10;6.19;125.54
2019;07;17;00;00;27.86;1004.00;5.32;118.30
2019;07;17;01;00;27.41;1002.80;5.80;119.74
2019;07;17;02;00;27.03;1002.30;6.30;120.96
2019;07;17;03;00;27.38;1002.50;6.29;113.63
2019;07;17;04;00;27.51;1002.80;6.12;118.07
2019;07;17;05;00;27.16;1003.30;5.15;114.78
2019;07;17;06;00;27.22;1003.50;4.21;109.98
2019;07;17;07;00;27.71;1003.80;4.35;114.44
2019;07;17;08;00;29.55;1003.90;3.89;123.69
2019;07;17;09;00;29.31;1003.70;4.10;142.13
2019;07;17;10;00;29.88;1003.30;4.55;161.57
2019;07;17;11;00;30.36;1002.90;5.09;171.87
2019;07;17;12;00;30.92;1002.60;5.76;180.00
2019;07;17;13;00;32.43;1002.00;6.57;189.46
2019;07;17;14;00;33.29;1001.30;6.73;195.52
2019;07;17;15;00;33.70;1000.70;7.34;191.31
2019;07;17;16;00;33.74;999.60;7.95;185.19
2019;07;17;17;00;33.50;999.70;7.92;180.00
2019;07;17;18;00;32.89;1000.60;8.31;175.03
2019;07;17;19;00;33.16;1000.10;8.71;150.26
2019;07;17;20;00;32.07;1001.00;9.51;150.52
2019;07;17;21;00;31.07;1001.70;9.83;151.56
2019;07;17;22;00;30.22;1002.60;9.18;154.44
2019;07;17;23;00;29.53;1002.60;8.37;154.54
2019;07;18;00;00;28.91;1002.30;7.09;156.04
2019;07;18;01;00;28.41;1001.70;6.44;153.43
2019;07;18;02;00;28.53;1001.00;5.63;153.43
2019;07;18;03;00;28.27;1000.50;4.90;143.97
2019;07;18;04;00;28.08;1000.60;4.58;135.00
2019;07;18;05;00;27.81;1001.00;4.33;131.63
2019;07;18;06;00;27.91;1001.50;3.56;135.00
2019;07;18;07;00;28.41;1001.40;3.10;144.46
2019;07;18;08;00;29.38;1001.20;3.42;161.57
2019;07;18;09;00;30.90;1001.20;3.96;180.00
2019;07;18;10;00;32.86;1000.80;4.02;190.30
2019;07;18;11;00;34.28;1000.40;4.35;204.44
2019;07;18;12;00;35.38;999.70;3.60;216.87
2019;07;18;13;00;36.05;998.90;3.60;216.87
2019;07;18;14;00;36.54;998.10;4.55;198.43
2019;07;18;15;00;36.69;997.70;6.21;190.01
2019;07;18;16;00;36.60;997.40;7.24;185.71
2019;07;18;17;00;36.24;997.60;8.28;180.00
2019;07;18;18;00;35.45;998.40;9.18;168.69
2019;07;18;19;00;35.06;998.80;3.40;147.99
2019;07;18;20;00;34.02;999.20;5.12;140.71
2019;07;18;21;00;32.97;1000.30;6.13;139.76
2019;07;18;22;00;31.80;1000.60;6.13;139.76
2019;07;18;23;00;30.96;1000.80;6.13;139.76
2019;07;19;00;00;30.25;1000.90;5.86;137.49
2019;07;19;01;00;29.60;999.90;5.35;132.27
2019;07;19;02;00;29.05;999.20;5.12;129.29
2019;07;19;03;00;28.97;999.20;5.32;118.30
2019;07;19;04;00;28.20;999.10;4.80;102.99
2019;07;19;05;00;27.90;1000.00;4.69;94.40
2019;07;19;06;00;28.47;1000.70;3.26;96.34
2019;07;19;07;00;30.20;1000.90;3.71;119.05
2019;07;19;08;00;31.85;1000.70;3.32;139.40
2019;07;19;09;00;33.43;1000.30;3.71;150.95
2019;07;19;10;00;35.13;999.80;4.20;149.04
2019;07;19;11;00;34.26;1000.00;2.62;164.05
2019;07;19;12;00;34.07;999.80;2.74;113.20
2019;07;19;13;00;35.43;999.70;5.77;93.58
