Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Mean Sea Level Pressure  [MSL];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd]
2019;07;15;00;00;24.75;1007.60;12.10;233.47
2019;07;15;01;00;24.32;1007.20;11.68;236.31
2019;07;15;02;00;23.87;1005.90;10.00;239.74
2019;07;15;03;00;23.61;1005.70;8.53;242.35
2019;07;15;04;00;23.33;1005.90;7.09;246.04
2019;07;15;05;00;23.06;1006.20;5.94;255.96
2019;07;15;06;00;23.57;1007.00;5.15;257.91
2019;07;15;07;00;25.88;1007.10;8.12;257.20
2019;07;15;08;00;28.35;1007.10;14.41;257.01
2019;07;15;09;00;29.81;1006.90;19.06;259.11
2019;07;15;10;00;29.46;1006.60;19.00;260.18
2019;07;15;11;00;29.50;1006.40;17.94;259.59
2019;07;15;12;00;29.47;1005.80;16.87;258.93
2019;07;15;13;00;29.99;1005.30;16.60;257.47
2019;07;15;14;00;29.72;1004.50;15.98;255.65
2019;07;15;15;00;29.32;1004.00;14.15;255.26
2019;07;15;16;00;28.72;1004.40;12.66;255.17
2019;07;15;17;00;29.21;1004.70;12.86;252.07
2019;07;15;18;00;27.95;1005.80;9.79;252.90
2019;07;15;19;00;26.90;1006.50;6.61;240.64
2019;07;15;20;00;26.37;1007.40;6.19;234.46
2019;07;15;21;00;25.94;1007.20;6.88;227.12
2019;07;15;22;00;25.62;1007.40;7.42;230.91
2019;07;15;23;00;25.37;1007.20;7.49;234.78
2019;07;16;00;00;25.11;1006.60;7.41;240.95
2019;07;16;01;00;24.89;1006.00;6.92;242.10
2019;07;16;02;00;24.63;1005.00;6.30;239.04
2019;07;16;03;00;24.34;1004.70;5.80;240.26
2019;07;16;04;00;24.10;1005.40;5.32;241.70
2019;07;16;05;00;24.02;1006.00;4.35;245.56
2019;07;16;06;00;24.30;1006.70;3.42;251.57
2019;07;16;07;00;26.45;1006.50;6.64;257.47
2019;07;16;08;00;28.19;1006.60;13.49;260.79
2019;07;16;09;00;28.93;1006.70;17.41;262.87
2019;07;16;10;00;29.23;1006.50;18.13;263.16
2019;07;16;11;00;28.79;1006.00;17.02;263.93
2019;07;16;12;00;28.82;1005.60;16.45;259.92
